Date,Address,Price,PriceTag,Area,Ft_Price,Agency,Region,District,Subdistrict,Code,Area_URL
2025-02-20,Shun Fai Building・Lower Floor・Flat A,$4.72M,S,323ft²,"@$14,613",Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-19,Smithfield Terrace・Block A・Lower Floor・Flat 4,$3.3M,S,265ft²,"@$12,453",Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-18,Harbour View Garden・Tower 3・Lower Floor・Flat A,"$19,000",L,405ft²,@$47,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-17,Serene Court・21/F・Flat C,$10.8M,S,691ft²,"@$15,630",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-15,Kennedy 38・Upper Floor・Flat L,"$23,000",L,302ft²,@$76,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-15,Treasure Court・Lower Floor・Flat B,"$15,000",L,301ft²,@$50,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-13,Cayman Rise・Block 2・33/F・Flat G,$7.78M,S,464ft²,"@$16,767",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-11,Joyful Building・19/F・Flat F,$7.16M,S,579ft²,"@$12,366",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-10,Imperial Kennedy・Upper Floor・Flat A,"$54,000",L,901ft²,@$60,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-07,Luen Hong Apartments・14/F・Flat 5,$3.5M,S,328ft²,"@$10,671",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-05,Harbour View Garden・Tower 2・26/F・Flat 2,$6.45M,S,378ft²,"@$17,063",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-04,Ka Ming Building・17/F・Flat A,$2.7M,S,364ft²,"@$7,418",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-04,Wah Fai House・3/F・Flat D,$4.15M,S,429ft²,"@$9,674",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-03,9-11 North Street・4/F・No. 11,$5.98M,S,413ft²,"@$14,479",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-01,The Merton・Tower 1・Middle Floor・Flat A,"$36,000",L,651ft²,@$55,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-01,Lung Cheung Garden・Middle Floor・Flat C,"$19,500",L,369ft²,@$53,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-02-01,Smithfield Terrace・Block A・Lower Floor・Flat 1,"$13,800",L,281ft²,@$49,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-01-31,Kennedy 38・Lower Floor・Flat L,"$22,000",L,302ft²,@$73,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-01-31,Kennedy 38・Lower Floor・Flat N,"$21,000",L,300ft²,@$70,Centaline,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
2025-01-28,New Fortune House・Block B・3/F・Flat 6,$4M,S,400ft²,"@$10,000",Land Registry,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,https://hk.centanet.com/findproperty/en/list/transaction/Kennedy-Town_19-HMA111?q=fqa6mx9zpr
