Name,Address,Blocks,Units,Unit Rate,MoM,Trans Record,For Sale,For Rent,Estate Link,Region,District,Subdistrict,Code,Scraped Estate Name,Occupation Permit,Scraped Blocks,Scraped Units,School Net Info,Estate Detailed Address,Developer
The Merton,38 New Praya Kennedy Town,3,"1,182",--,--,--,51,2,https://hk.centanet.com/estate/en/The-Merton/2-SSPPWPPYPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,The Merton,2004/11,3,"1,182",Primary: 11 | Secondary: Central and Western District,38 New Praya Kennedy Town,URBAN RENEWAL AUTHORITY/NEW WORLD
Manhattan Heights,28 New Praya Kennedy Town,1,476,--,--,--,19,3,https://hk.centanet.com/estate/en/Manhattan-Heights/2-SSWSWPGSPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,Manhattan Heights,2000/2,1,476,Primary: 11 | Secondary: Central and Western District,28 New Praya Kennedy Town,CHEUNG KONG/FOOK LEE GROUP
Smithfield Terrace,71-77 Smithfield,4,912,--,--,--,27,4,https://hk.centanet.com/estate/en/Smithfield-Terrace/2-TTLIIHSRHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,Smithfield Terrace,1986/2,4,912,Primary: 11 | Secondary: Central and Western District,71-77 Smithfield,HENDERSON
University Heights,23 Pokfield Road,2,444,--,--,--,17,5,https://hk.centanet.com/estate/en/University-Heights/2-TTXNZHIXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,University Heights,1996/1,2,444,Primary: 11 | Secondary: Central and Western District,23 Pokfield Road,CHEUNG KONG/HSBC
Pearl Court,13 Belcher's Street,2,368,--,--,--,4,1,https://hk.centanet.com/estate/en/Pearl-Court/2-SSABGPPOPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,Pearl Court,1980/1,2,368,Primary: 11 | Secondary: Central and Western District,13 Belcher's Street,
Cadogan,37A Cadogan Street,1,197,--,--,--,17,--,https://hk.centanet.com/estate/en/Cadogan/2-SSPPWWPSWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
The Hudson,11 Davis Street,1,134,--,--,--,11,--,https://hk.centanet.com/estate/en/The-Hudson/2-SSSPWWPYWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Cayman Rise,29 Ka Wai Man Road,2,496,"$16,067/ ft²",6.23%,2,8,2,https://hk.centanet.com/estate/en/Cayman-Rise/2-SSPPWPPEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Imperial Kennedy,68 Belcher's Street,1,161,"$21,056/ ft²",18.39%,1,11,--,https://hk.centanet.com/estate/en/Imperial-Kennedy/2-SSSPWWPHWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
The Sail At Victoria,86 Victoria Road,1,95,--,--,--,9,3,https://hk.centanet.com/estate/en/The-Sail-At-Victoria/2-SSSPWWPXWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Jade Court,"48-49 Praya, Kennedy Town",2,300,--,--,--,4,1,https://hk.centanet.com/estate/en/Jade-Court/2-SSYYGPDOPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Smithfield Court,43 Smithfield,2,516,--,--,--,5,1,https://hk.centanet.com/estate/en/Smithfield-Court/2-TTMTIHSXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Harbour View Garden,21 North Street,3,452,"$17,063/ ft²",1.45%,1,5,--,https://hk.centanet.com/estate/en/Harbour-View-Garden/2-OOFDURJRRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Belcher's Hill,9 Rock Hill Street,1,152,--,--,--,6,--,https://hk.centanet.com/estate/en/Belcher-s-Hill/2-SSSPWWPJWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Scholar Court,15 Sands Street,1,47,--,--,--,3,1,https://hk.centanet.com/estate/en/Scholar-Court/2-OOSDQRFXRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kennedy Town Centre,"38 Praya, Kennedy Town",1,272,--,--,--,2,1,https://hk.centanet.com/estate/en/Kennedy-Town-Centre/2-SSPAGPDXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Axeford Villa,3-5 Sands Street,1,81,--,--,--,--,--,https://hk.centanet.com/estate/en/Axeford-Villa/2-OOOCURFRRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Mei Wah Mansion,36-42 Smithfield,1,96,--,--,--,4,--,https://hk.centanet.com/estate/en/Mei-Wah-Mansion/2-TTTSTHLXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Lung Cheung Garden,"26 Praya, Kennedy Town",1,128,"$15,449/ ft²",10.36%,1,1,--,https://hk.centanet.com/estate/en/Lung-Cheung-Garden/2-SSEYBPDXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Cheong Yue Mansion,13-19 North Street,1,68,--,--,--,1,--,https://hk.centanet.com/estate/en/Cheong-Yue-Mansion/2-OOJQURJYRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Ying Ga Garden,34 Sands Street,3,300,"$14,730/ ft²",8.36%,1,2,--,https://hk.centanet.com/estate/en/Ying-Ga-Garden/2-SSSDBPYRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Joyful Building,16-18 Belcher's Street,1,224,"$12,913/ ft²",3.13%,2,1,1,https://hk.centanet.com/estate/en/Joyful-Building/2-SSBDGPSRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sea View Mansion,37-37A Belcher's Street,1,134,--,--,--,2,--,https://hk.centanet.com/estate/en/Sea-View-Mansion/2-OOJJFRRYRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kennedy 38,38 Belcher's Street,1,341,--,--,--,17,1,https://hk.centanet.com/estate/en/Kennedy-38/2-SSSPWWPVWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Nam Hung Mansion,5-5H Belcher's Street,2,379,--,--,--,10,2,https://hk.centanet.com/estate/en/Nam-Hung-Mansion/2-SSSEPPPXPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
New Fortune House,4-8 North Street,2,358,--,--,--,7,--,https://hk.centanet.com/estate/en/New-Fortune-House/2-OOCJQRJJRO,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
To Li Garden,15-19 To Li Terrace,1,98,--,--,--,6,--,https://hk.centanet.com/estate/en/To-Li-Garden/2-SSWWBPWRPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Lexington Hill,11 Rock Hill Street,1,104,--,--,--,6,1,https://hk.centanet.com/estate/en/Lexington-Hill/2-SSPPWWPRWG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Serene Court,35 Sai Ning Street,1,232,"$15,630/ ft²",37.79%,1,6,--,https://hk.centanet.com/estate/en/Serene-Court/2-SSBBPPYAPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Sincere Western House,63-71 Cadogan Street,1,205,--,--,--,5,1,https://hk.centanet.com/estate/en/Sincere-Western-House/2-SSDKGPEEPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
No. 60 Victoria Road,60 Victoria Road,1,73,--,--,--,5,1,https://hk.centanet.com/estate/en/No-60-Victoria-Road/2-SSPPWWPYWS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Po Tak Mansion,85 Smithfield,1,138,--,--,--,6,--,https://hk.centanet.com/estate/en/Po-Tak-Mansion/2-TTDSIHSXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Hoi Tao Building,7-11 Belcher's Street,3,323,--,--,--,4,1,https://hk.centanet.com/estate/en/Hoi-Tao-Building/2-SSYKGPPOPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Yick Fung Garden,"20 Praya, Kennedy Town",2,235,--,--,--,4,--,https://hk.centanet.com/estate/en/Yick-Fung-Garden/2-SSAKBPAOPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Belcher Court,2 Sai Cheung Street,2,240,--,--,--,4,--,https://hk.centanet.com/estate/en/Belcher-Court/2-SSKEBPDEPG,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Wah Fai House,26-34 Smithfield,1,92,"$10,525/ ft²",35.08%,2,4,--,https://hk.centanet.com/estate/en/Wah-Fai-House/2-TTNITHLXHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen Hong Apartments,116-122 Belcher's Street,1,267,"$10,671/ ft²",3.25%,1,4,--,https://hk.centanet.com/estate/en/Luen-Hong-Apartments/2-TTSSTHMEHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Tai Pak Terrace,36 Sands Street,1,45,--,--,--,3,1,https://hk.centanet.com/estate/en/Tai-Pak-Terrace/2-SSGYBPYXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Kennedy Town Building,"27 Praya, Kennedy Town",1,75,"$16,582/ ft²",4.61%,1,3,1,https://hk.centanet.com/estate/en/Kennedy-Town-Building/2-SSPWBPDXPS,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
Luen Wai Apartment,136-142 Belcher's Street,1,279,"$10,486/ ft²",6.97%,1,3,1,https://hk.centanet.com/estate/en/Luen-Wai-Apartment/2-TTMLTHMAHT,Hong Kong Island,All Hong Kong Island,Kennedy Town,HMA111,,,,,,,
