Property Name,Property Type & Address,Area/Size,Occupation Date,Floor,Developer,Transaction Count,Area Code
中遠大廈,寫字樓 | 皇后大道中183號,"約595 - 22,059呎",1998年,53層,新世界發展有限公司、市區重建局,17,WS005
信德中心西翼,寫字樓 | 干諾道中168-200號,"約455 - 22,686呎",1986年,42層,信德集團有限公司,27,WS005
威勝商業大廈,寫字樓 | 干諾道西28號,"約307 - 6,172呎",1982年,25層,新鴻基地產發展有限公司,25,WS005
信德中心招商局大廈,寫字樓 | 干諾道中168號,"約718 - 25,835呎",1986年,42層,信德集團有限公司,11,WS005
聯發商業中心,寫字樓 | 皇后大道西2-12號,"約460 - 9,267呎",1981年,27層,SINOWELL ENTERPRISES Limited,11,WS005
威利麻街6號,寫字樓 | 威利麻街6號,"約507 - 3,049呎",1996年,27層,HENDERSON GROUP,11,WS005
德輔道西9號,寫字樓 | 德輔道西9號,"約6,884 - 7,192呎",1995年,30層,招商局置地有限公司,13,WS005
南和行大廈,寫字樓 | 永樂街148號,"約520 - 5,412呎",1998年,29層,武夷(集團)有限公司0,5,WS005
皇后大道中181號,寫字樓 | 皇后大道中181號,"約916 - 15,451呎",1998年,30層,新世界發展有限公司、市區重建局,3,WS005
德輔道中308號,寫字樓 | 德輔道中308號,"約831 - 8,016呎",1994年,29層,Capital Way Investment Limited,12,WS005
協成行上環中心,寫字樓 | 永樂街93-103號,"約388 - 5,573呎",1984年,21層,HIP SHING HONG,11,WS005
香港貿易中心,寫字樓 | 德輔道中161-167號,"約2,999 - 3,490呎",1982年,25層,,11,WS005
億利商業大廈,寫字樓 | 干諾道西3號,"約6,247 - 6,350呎",1981年,28層,利安建築有限公司、益新置業有限公司,8,WS005
金龍中心,寫字樓 | 德輔道中188號,"約516 - 8,305呎",1991年,30層,,9,WS005
299 QRC,寫字樓 | 皇后大道中287-299號,"約250 - 7,193呎",1982年,25層,WINCOME GROUP OF COMPANIES,9,WS005
誠信大廈,寫字樓 | 干諾道中133號,"約400 - 8,767呎",1975年,25層,,6,WS005
干諾道中128號,寫字樓 | 干諾道中128號,"約1,419 - 2,411呎",1990年,26層,,2,WS005
東協商業大廈,寫字樓 | 德輔道中244號,"約850 - 6,988呎",1987年,28層,香港黃族宗親會,4,WS005
珠江船務大廈,寫字樓 | 干諾道中140-143號,"約997 - 3,508呎",1995年,27層,Guangdong Real Esate (Holdings) Limited,3,WS005
粵財大廈,寫字樓 | 干諾道西88-91號,"約615 - 3,744呎",1998年,33層,中國海外,2,WS005
干諾中心,寫字樓 | 干諾道西48-51號,,2020年,28層,Laws Group,2,WS005
粵海投資大廈,寫字樓 | 干諾道中148號,"約785 - 7,733呎",1996年,31層,,2,WS005
The L. Plaza (QRC),寫字樓 | 皇后大道中367-375號,"約237 - 3,865呎",1984年,22層,,2,WS005
無限極廣場,寫字樓 | 德輔道中199號,"約739 - 11,898呎",1987年,35層,Vicwood International Limited,2,WS005
永安中心,寫字樓 | 干諾道中111號,"約532 - 18,740呎",1987年,32層,Wing On,5,WS005
南豐大廈,寫字樓 | 德輔道中173號,"約8,868 - 9,135呎",1973年,28層,南豐發展有限公司,9,WS005
李寶椿大廈,寫字樓 | 德輔道中189號,"約1,553 - 9,553呎",1995年,28層,,5,WS005
