property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
"Lippo Centre, Tower 2",Office,89 Queensway,"11,563 - 15,671ft² approx",1987 Year,47 Floor(s),Sino Land Company Limited,37,https://hkis.centanet.com/oir/UlX6VtoCUlsKCB59YGJjY39jYn9gan1rY2FiZXw4IjU=.jpg,HK_Island,Admiralty,WS005
"Lippo Centre, Tower 1",Office,89 Queensway,"9,701 - 19,130ft² approx",1987 Year,51 Floor(s),Sino Land Company Limited,22,https://hkis.centanet.com/oir/U1T7V9sDU1oLCR98YWNiYn5iY35ha3xqYmBjZX05IzQ=.jpg,HK_Island,Admiralty,WS005
Admiralty Centre Tower 1,Office,18 Harcourt Road,"16,138 - 23,000ft² approx",1980 Year,33 Floor(s),Cheung Kong (Holdings) Limited,16,https://hkis.centanet.com/oir/Z2DPY-83Z24_PStIVVdWUEpXU0pXVEhWVVdRV1FJDRcA.jpg,HK_Island,Admiralty,WS005
Admiralty Centre Tower 2,Office,18 Harcourt Road,"10,627ft² approx",1980 Year,27 Floor(s),Cheung Kong (Holdings) Limited,10,https://hkis.centanet.com/oir/ZmHOYu42Zm8-PCpJVFZXUUtWUktWVUlXVFZQVlFIDBYB.jpg,HK_Island,Admiralty,WS005
United Centre,Office,95 Queensway,"20,489 - 31,410ft² approx",1981 Year,39 Floor(s),World-Wide Properties Corporation Limited,12,https://hkis.centanet.com/oir/YGfIZOgwYGk4OixPUlBSUE1QUU1TUU9TVFBRIVAjUiJSU1JUVVcmIiZWVSJXJCNSWFlTI1hUWU4KEAc=.jpg,HK_Island,Admiralty,WS005
Far East Finance Centre,Office,16 Harcourt Road,"10,800ft² approx",1982 Year,48 Floor(s),,12,https://hkis.centanet.com/oir/S0zjT8MbS0ITEQdkeXt6fGZ7f2Z6cmR6eXpzfXNlARsM.jpg,HK_Island,Admiralty,WS005
Fairmont House,Office,8 Cotton Tree Drive,,1982 Year,28 Floor(s),KHI Holdings Group,3,https://hkis.centanet.com/oir/Y2TLZ-szY2o7OS9MUVNRU05TUk5QUkxaUSVXUltWVlsmU1JXJVtVWlpTV1ZQJlNRIiJWIiZXVE0JEwQ=.jpg,HK_Island,Admiralty,WS005
One Pacific Place,Office,88 Queensway,"16,790 - 22,508ft² approx",1988 Year,36 Floor(s),John Swire & Sons (Hong Kong) Limited,3,https://hkis.centanet.com/oir/VlH-Ut4GVl8ODBp5ZGZnZ3tnZntkbnlvZ2VmZXg8JjE=.jpg,HK_Island,Admiralty,WS005
Two Pacific Place,Office,88 Queensway,"20,500 - 22,000ft² approx",1991 Year,27 Floor(s),John Swire & Sons (Hong Kong) Limited,10,https://hkis.centanet.com/oir/ZWLNYe01ZWw9PylKV1VXVUhVVEhWVEpQUFRXV1RdUSYmUlVRXCZdJFRQIyNXJlxdXVNRUlJQI0sPFQI=.jpg,HK_Island,Admiralty,WS005
Citic Tower,Office,1 Tim Mei Avenue,"3,424 - 18,080ft² approx",1997 Year,34 Floor(s),"CITIC Pacific Property Agents Limited, Kerry Real Estate Agency Limited",2,https://hkis.centanet.com/oir/Hhm2GpZOHhdGRFIxLC4sLjMuLzMtLzErXSooKVsuJiYpXVoqKCcsX11aXydYKy9fLCcsLlopLDB0bnk=.jpg,HK_Island,Admiralty,WS005
Chinachem Leighton Plaza,Office,25-31 Leighton Road,"3,963ft² approx",1995 Year,26 Floor(s),,4,https://hkis.centanet.com/oir/DwinC4dfDwZXVUMgPT89OiI_PCI_PCA7Nzw8SUo9Njw-ODg7SU0_TTlONkxONjpKO043PE1OOyFlf2po.jpg,HK_Island,Happy Valley,WS048
Trend Centre,Industrial,29-31 Cheung Lee Street,,1995 Year,29 Floor(s),,29,https://hkis.centanet.com/oir/bWrFaeU9bWQkIylCX11fXEBcXEBdVEIoKFsoXlVcXS5YLytZKV1aLytYXFReL1teXVhVX15ZW0MHHQo=.jpg,HK_Island,Chai Wan,WS012
Hong Man Industrial Centre,Industrial,2 Hong Man Street,"27,124ft² approx",1986 Year,23 Floor(s),Cheung Kong (Holdings) Limited,26,https://hkis.centanet.com/oir/FhG-Ep5GFh9fWFI5JCYkJzsnJzsmLzkjUlNTUFRVUCUlLiMiUi4kV1ImVSRVLyMlUiQgIlVTLzh8ZnE=.jpg,HK_Island,Chai Wan,WS012
Honour Industrial Centre,Industrial,6 Sun Yip Street,,1990 Year,25 Floor(s),Sun Hung Kai Properties Limited,25,https://hkis.centanet.com/oir/dXLdcf0ldXw8OzFaR0VHRlhFQVhHQ1o0MDFHMExGN0I0QDBBNDdBNzEzRzBGQkFNM0Y2TENGQ1sfBRAS.jpg,HK_Island,Chai Wan,WS012
Cheung Tat Centre,Industrial,18 Cheung Lee Street,"7,888ft² approx",1993 Year,24 Floor(s),Lai Sun Development Company Limited,18,https://hkis.centanet.com/oir/bmnGauY-bmcnICpBXF5cX0NfX0NeV0EoW1pWL19ZKytXXS9aLFkoLytaVihYXSwqX19YWCxYL0AEHgk=.jpg,HK_Island,Chai Wan,WS012
