queriedDistrict,queriedCode,propertyID,buildingNameEn,address,developers,opDateDisplayName,floorDisplayName,districtNameEn,zoneEn,sellCount,rentCount,transCount
Admiralty,WS005,ea0d8e9f-0de0-4b04-ac83-53e6c602859a,"Lippo Centre, Tower 2",89 Queensway,Sino Land Company Limited,1987 Year,47 Floor(s),Admiralty,Hong Kong,36,24,38
Admiralty,WS005,a5c52d7e-e865-40b4-b594-ba7a33a0e899,"Lippo Centre, Tower 1",89 Queensway,Sino Land Company Limited,1987 Year,51 Floor(s),Admiralty,Hong Kong,22,21,29
Admiralty,WS005,09eeef57-e096-4827-955f-5aadc50263d6,Admiralty Centre Tower 1,18 Harcourt Road,Cheung Kong (Holdings) Limited,1980 Year,33 Floor(s),Admiralty,Hong Kong,16,19,24
Admiralty,WS005,8945cdfc-f462-48e6-a917-b6e0be4709bf,United Centre,95 Queensway,World-Wide Properties Corporation Limited,1981 Year,39 Floor(s),Admiralty,Hong Kong,12,10,19
Admiralty,WS005,8d493726-ea4c-4864-aaa8-c677373415c5,Far East Finance Centre,16 Harcourt Road,,1982 Year,48 Floor(s),Admiralty,Hong Kong,12,11,15
Admiralty,WS005,9bb3bed9-b3e1-43a2-a6e0-2c97ff3ed3f5,Admiralty Centre Tower 2,18 Harcourt Road,Cheung Kong (Holdings) Limited,1980 Year,27 Floor(s),Admiralty,Hong Kong,10,11,10
Admiralty,WS005,031426f8-db10-4f0a-afac-e351cd3a32c9,Fairmont House,8 Cotton Tree Drive,KHI Holdings Group,1982 Year,28 Floor(s),Admiralty,Hong Kong,0,3,5
Admiralty,WS005,f2e95b3c-0214-4534-9fd5-44cf9dfafb21,One Pacific Place,88 Queensway,John Swire & Sons (Hong Kong) Limited,1988 Year,36 Floor(s),Admiralty,Hong Kong,0,0,3
Admiralty,WS005,2eefdbb6-4028-4632-aa50-d499942f7176,Two Pacific Place,88 Queensway,John Swire & Sons (Hong Kong) Limited,1991 Year,27 Floor(s),Admiralty,Hong Kong,0,0,10
Admiralty,WS005,79c4d7ed-0abe-4212-be29-18207eaaf986,Citic Tower,1 Tim Mei Avenue,"CITIC Pacific Property Agents Limited, Kerry Real Estate Agency Limited",1997 Year,34 Floor(s),Admiralty,Hong Kong,0,0,2
Happy Valley,WS048,a4ace4eb-cb63-46ca-abda-49746ec403dd,Chinachem Leighton Plaza,25-31 Leighton Road,,1995 Year,26 Floor(s),Happy Valley,Hong Kong,0,4,20
Chai Wan,WS012,76fabe1b-3720-4819-8983-aec97c1a45dd,Trend Centre,29-31 Cheung Lee Street,,1995 Year,29 Floor(s),Chai Wan,Hong Kong,29,18,15
Chai Wan,WS012,2c3b941c-0cae-4c3d-bf6c-16497045546c,Hong Man Industrial Centre,2 Hong Man Street,Cheung Kong (Holdings) Limited,1986 Year,23 Floor(s),Chai Wan,Hong Kong,26,16,20
Chai Wan,WS012,5cf5644e-82ff-45e5-8eab-70ba8b46826b,Honour Industrial Centre,6 Sun Yip Street,Sun Hung Kai Properties Limited,1990 Year,25 Floor(s),Chai Wan,Hong Kong,25,13,8
Chai Wan,WS012,c8a89772-81bf-4106-a949-7c1b65a5f90d,Cheung Tat Centre,18 Cheung Lee Street,Lai Sun Development Company Limited,1993 Year,24 Floor(s),Chai Wan,Hong Kong,18,7,17
Chai Wan,WS012,d21a846d-5ac4-4aca-a13a-096c6d887fd5,Sze Hing Loong Industrial Building,44 Lee Chung Street,,1974 Year,13 Floor(s),Chai Wan,Hong Kong,21,11,5
Chai Wan,WS012,8b3f9b0e-60cd-428c-8caa-c7e4b161d0f6,Chi Ko Industrial Building,17 Cheung Lee Street,,1974 Year,11 Floor(s),Chai Wan,Hong Kong,2,19,3
