building_key,source,source_id,original_key,building_name,address,district,grade,year_built,match_source,match_id,match_original_key,match_name,match_address,match_score
LH_3211,leasinghub,3211,3211,1 Chatham Road South,1-3 Chatham Road South,Yau Tsim Mong District,B,1999,,,,,,
LH_842,leasinghub,842,842,1 Des Voeux Road West,1 Des Voeux Road West,Central and Western District,B,1997,,,,,,
LH_1967,leasinghub,1967,1967,1 Duddell Street,1 Duddell Street,Central and Western District,B+,1983,midland,B000018422,B000018422,1 Duddell Street,1 Duddell Street,90.0
LH_2566,leasinghub,2566,2566,1 Lan Kwai Fong,1 Lan Kwai Fong,Central and Western District,B+,1993,,,,,,
LH_17578,leasinghub,17578,17578,1-1A Java Road,1-1A Java Road,Eastern District,B,2022,,,,,,
LH_13613,leasinghub,13613,13613,10 Bonham Strand,10 Bonham Strand,Central and Western District,C,1975,,,,,,
LH_6552,leasinghub,6552,6552,10 Knutsford,10 Knutsford Terrace,Yau Tsim Mong District,B,1999,,,,,,
LH_2139,leasinghub,2139,2139,10 Pottinger Street,10-12 Pottinger Street,Central and Western District,B,1999,midland,B000018407,B000018407,10 Pottinger Street,10 Pottinger Street & 18 Li Yuen Street West,83.2
LH_3482,leasinghub,3482,3482,10 Prat Avenue,10 Prat Avenue,Yau Tsim Mong District,B,2009,,,,,,
LH_17381,leasinghub,17381,17381,10 Wellington,10-12 Wellington Street,Central and Western District,B,2022,,,,,,
LH_190,leasinghub,190,190,100 Queen's Road Central,100 Queen's Road Central,Central and Western District,A,2006,midland,B000063697,B000063697,100 Queen's Road Central,100 Queen's Road Central,90.0
LH_190,leasinghub,190,190,100 Queen's Road Central,100 Queen's Road Central,Central and Western District,A,2006,centanet,e37f48de-3c7c-4bd3-8316-b35228c76e10,e37f48de-3c7c-4bd3-8316-b35228c76e10,100 Queen's Road Central,100 Queen's Road Central,90.0
LH_1835,leasinghub,1835,1835,1001 King's Road,1001 King's Road,Eastern District,B+,2019,,,,,,
LH_17712,leasinghub,17712,17712,101-111 King's Road,101-111 King's Road,Eastern District,,2026,,,,,,
LH_2712,leasinghub,2712,2712,102 Austin Road,102 Austin Road,Yau Tsim Mong District,B,1999,,,,,,
LH_1668,leasinghub,1668,1668,1063 King's Road,1063 King's Road,Eastern District,A,1999,,,,,,
LH_3607,leasinghub,3607,3607,11 Queen Victoria Street,11 Queen Victoria Street,Central and Western District,C,1972,,,,,,
LH_1664,leasinghub,1664,1664,1111 King's Road,1111 King's Road,Eastern District,A+,1997,,,,,,
LH_639,leasinghub,639,639,118 Connaught Road West,118 Connaught Road West,Central and Western District,B,1994,,,,,,
LH_1939,leasinghub,1939,1939,12 Taikoo Wan Road,12 Taikoo Wan Road,Eastern District,A+,1991,,,,,,
LH_107,leasinghub,107,107,128 Connaught Road Central,128-129 Connaught Road Central,Central and Western District,B,1990,centanet,cd6b6f32-f52f-4b68-876c-e909c3e9c723,cd6b6f32-f52f-4b68-876c-e909c3e9c723,128 Connaught Road Central,128 Connaught Road Central,88.6
LH_1242,leasinghub,1242,1242,128 Wellington Street,128 Wellington Street,Central and Western District,B,1996,midland,B000060541,B000060541,128 Wellington Street,128 Wellington Street,90.0
LH_17311,leasinghub,17311,17311,12W - Science Park,12 Science Park West Avenue,Tai Po District,A,,,,,,,
LH_17583,leasinghub,17583,17583,13 Hok Yuen Street Tower 1,13 Hok Yuen Street,Kowloon City District,A,2025,,,,,,
LH_17584,leasinghub,17584,17584,13 Hok Yuen Street Tower 2,13 Hok Yuen Street,Kowloon City District,A,2025,,,,,,
LH_13659,leasinghub,13659,13659,135 Bonham Strand Trade Centre,135 Bonham Strand,Central and Western District,B+,2000,,,,,,
LH_1938,leasinghub,1938,1938,14 Taikoo Wan Road,14 Taikoo Wan Road,Eastern District,A+,1992,,,,,,
LH_17642,leasinghub,17642,17642,14 Wang Tai Road,14 Wang Tai Road,Kwun Tong District,A,,,,,,,
LH_2772,leasinghub,2772,2772,148 Electric Road,148 Electric Road,Eastern District,B,2000,midland,B000041931,B000041931,148 Electric Road,148 Electric Road,90.0
LH_3635,leasinghub,3635,3635,15-19 Hollywood Road,15-19 Hollywood Road,Central and Western District,,,,,,,,
LH_17312,leasinghub,17312,17312,15W - Science Park,15 Science Park West Avenue,Tai Po District,A,,,,,,,
LH_6646,leasinghub,6646,6646,16 Hart Avenue,16 Hart Avenue,Yau Tsim Mong District,B,2014,,,,,,
LH_1343,leasinghub,1343,1343,163 Hennessy Road,163 Hennessy Road,Wanchai District,B,1981,,,,,,
LH_5358,leasinghub,5358,5358,163 Hoi Bun Road,163 Hoi Bun Road,Kwun Tong District,B,1991,,,,,,
LH_17715,leasinghub,17715,17715,163 QRE,153-167 Queen's Road East,Wanchai District,B+,2023,,,,,,
LH_2784,leasinghub,2784,2784,168 Electric Road,168 Electric Road,Eastern District,B,1996,,,,,,
LH_195,leasinghub,195,195,168 Queen's Road Central,168 Queen's Road Central,Central and Western District,B,2002,,,,,,
LH_7273,leasinghub,7273,7273,168 Sai Yeung Choi Street South,168 Sai Yeung Choi Street South,Yau Tsim Mong District,B,1995,,,,,,
LH_17313,leasinghub,17313,17313,16W - Science Park,16 Science Park West Avenue,Tai Po District,A,,,,,,,
LH_4669,leasinghub,4669,4669,17-19 Ashley Road,17-19 Ashley Road,Yau Tsim Mong District,B,2013,,,,,,
LH_17314,leasinghub,17314,17314,17W - Science Park,17 Science Park West Avenue,Tai Po District,A,,,,,,,
LH_8177,leasinghub,8177,8177,18 On Lan Street,18 On Lan Street,Central and Western District,A,2013,,,,,,
LH_17653,leasinghub,17653,17653,181 Queen's Road Central,181-183 Queen's Road Central,Central and Western District,A,1998,midland,B000063699,B000063699,181 Queen's Road Central,181 Queen's Road Central H.k.,87.2
LH_17653,leasinghub,17653,17653,181 Queen's Road Central,181-183 Queen's Road Central,Central and Western District,A,1998,centanet,14147db7-cdb3-4f9c-8064-e0e1de89df7e,14147db7-cdb3-4f9c-8064-e0e1de89df7e,181 Queen's Road Central,181 Queen's Road Central,88.4
LH_17316,leasinghub,17316,17316,19W - Science Park,19 Science Park West Avenue,Tai Po District,A,,,,,,,
LH_5705,leasinghub,5705,5705,2 Carnarvon Road,2-2A Carnarvon Road,Yau Tsim Mong District,C,1989,,,,,,
LH_3606,leasinghub,3606,3606,2 Queen Victoria Street,2 Queen Victoria Street,Central and Western District,C,1967,,,,,,
LH_17722,leasinghub,17722,17722,2-4 Cameron Road,2-4 Cameron Road,Yau Tsim Mong District,,,,,,,,
LH_17721,leasinghub,17721,17721,20 Des Voeux Road Central,20 Des Voeux Road Central,Central and Western District,A,2025,,,,,,
LH_6225,leasinghub,6225,6225,20-28 Cannon Street,20-28 Cannon Street,Wanchai District,,,,,,,,
LH_839,leasinghub,839,839,202 Centre,202-204 Des Voeux Road West,Central and Western District,C,1999,,,,,,
LH_1609,leasinghub,1609,1609,208 Johnston Road,208 Johnston Road,Wanchai District,B+,2020,midland,B000094314,B000094314,No. 208 Johnston Road,No. 208 Johnston Road,88.4
LH_17317,leasinghub,17317,17317,20E - Science Park,20 Science Park East Avenue,Tai Po District,A,,,,,,,
LH_17604,leasinghub,17604,17604,21 Ashley,21-27 Ashley Road,Yau Tsim Mong District,A,2023,,,,,,
LH_17549,leasinghub,17549,17549,212-232 Des Voeux Road Central,212-232 Des Voeux Road Central,Central and Western District,A,2025,,,,,,
LH_1617,leasinghub,1617,1617,22 Yee Wo Street,22 Yee Wo Street,Wanchai District,B,1993,,,,,,
LH_17520,leasinghub,17520,17520,228 Electric Road,228 Electric Road,Eastern District,A,2023,midland,B000112287,B000112287,No. 228 Electric Road,No. 228 Electric Road,88.4
LH_3218,leasinghub,3218,3218,23 Hillwood Road,23 Hillwood Road,Yau Tsim Mong District,B,1997,,,,,,
LH_2537,leasinghub,2537,2537,235 Wing Lok Street Trade Centre,235 Wing Lok Street,Central and Western District,B+,2000,,,,,,
LH_85,leasinghub,85,85,238 Des Voeux Road Central,238 Des Voeux Road Central,Central and Western District,B+,2016,,,,,,
