ID,Name,Street Name,Area Name,Year Built,Highest Floor,Typical Floor Area,District Name,Latitude,Longitude,Grade,Min Rent,Max Rent,Min Price,Max Price
3211,1 Chatham Road South,1-3 Chatham Road South,Tsimshatsui,1999,25,"2,003",Yau Tsim Mong District,22.2965617,114.1751776,B,,,,
842,1 Des Voeux Road West,1 Des Voeux Road West,Sheung Wan,1997,27,"1,088",Central and Western District,22.2880495,114.1476269,B,32.17,32.17,,
1967,1 Duddell Street,1 Duddell Street,Central,1983,24,"2,523 - 3,670",Central and Western District,22.2802574,114.1572424,B+,55,55,,
2566,1 Lan Kwai Fong,1 Lan Kwai Fong,Central,1993,22,917,Central and Western District,22.2809846,114.1556541,B+,40,40,,
17578,1-1A Java Road,1-1A Java Road,North Point,2022,17,"1,100",Eastern District,22.29122612811056,114.19530438007729,B,,,,
13613,10 Bonham Strand,10 Bonham Strand,Sheung Wan,1975,5,,Central and Western District,22.2854257,114.1524289,C,,,,
6552,10 Knutsford,10 Knutsford Terrace,Tsimshatsui,1999,23,"569 - 4,714",Yau Tsim Mong District,22.3012941,114.1735802,B,23,26,,
2139,10 Pottinger Street,10-12 Pottinger Street,Central,1999,25,"1,943",Central and Western District,22.283222001,114.156172003,B,,,,
3482,10 Prat Avenue,10 Prat Avenue,Tsimshatsui,2009,11,"1,554",Yau Tsim Mong District,22.2986716,114.1744504,B,,,,
17381,10 Wellington,10-12 Wellington Street,Central,2022,14,"903 - 1,179",Central and Western District,22.28087306309456,114.1559866777791,B,49.56,75.45,,
190,100 Queen's Road Central,100 Queen's Road Central,Central,2006,29,"6,739",Central and Western District,22.2834056050588,114.1550283820054,A,0,70,,
1835,1001 King's Road,1001 King's Road,Quarry Bay,2019,25,"5,974 - 7,264",Eastern District,22.2849716,114.2124598,B+,32,40,,
17712,101-111 King's Road,101-111 King's Road,North Point,2026,,,Eastern District,22.2873238,114.1925528,,0,0,,
2712,102 Austin Road,102 Austin Road,Tsimshatsui,1999,23,"3,640",Yau Tsim Mong District,22.3031065,114.1723139,B,28,28,,
1668,1063 King's Road,1063 King's Road,Quarry Bay,1999,30,"11,004",Eastern District,22.284978,114.2137406,A,38,40,,
3607,11 Queen Victoria Street,11 Queen Victoria Street,Central,1972,5,750,Central and Western District,22.283844205,114.155497697,C,,,,
1664,1111 King's Road,1111 King's Road,Quarry Bay,1997,27,"26,300",Eastern District,22.2857459492593,114.21787440776825,A+,50,54,,
639,118 Connaught Road West,118 Connaught Road West,Sai Ying Pun,1994,40,"13,265",Central and Western District,22.288280002,114.144626006,B,24,35,14000,23500
1939,12 Taikoo Wan Road,12 Taikoo Wan Road,Quarry Bay,1991,,"23,724",Eastern District,22.2876881,114.2178916,A+,50,54,,
107,128 Connaught Road Central,128-129 Connaught Road Central,Sheung Wan,1990,29,"1,550",Central and Western District,22.286962998,114.152096005,B,,,,
1242,128 Wellington Street,128 Wellington Street,Central,1996,25,"2,076",Central and Western District,22.283673992,114.153885003,B,28.03,28.07,,
17311,12W - Science Park,12 Science Park West Avenue,Tai Po,,,,Tai Po District,22.4268985,114.2092807,A,,,,
17583,13 Hok Yuen Street Tower 1,13 Hok Yuen Street,Hunghom,2025,,,Kowloon City District,22.3102579,114.1886157,A,,,,
17584,13 Hok Yuen Street Tower 2,13 Hok Yuen Street,Hunghom,2025,,,Kowloon City District,22.3102579,114.1886157,A,,,,
13659,135 Bonham Strand Trade Centre,135 Bonham Strand,Sheung Wan,2000,24,"2,988",Central and Western District,22.286619998,114.149308991,B+,26,27,,
1938,14 Taikoo Wan Road,14 Taikoo Wan Road,Quarry Bay,1992,,"19,331",Eastern District,22.2876498,114.2168499,A+,50,50,,
17642,14 Wang Tai Road,14 Wang Tai Road,Kowloon Bay,,,,Kwun Tong District,22.322723,114.2091861,A,,,,
2772,148 Electric Road,148 Electric Road,North Point,2000,39,"8,205",Eastern District,22.2864976,114.1917397,B,0,28,,
3635,15-19 Hollywood Road,15-19 Hollywood Road,Central,,,,Central and Western District,22.282067993,114.154122994,,,,,
17312,15W - Science Park,15 Science Park West Avenue,Tai Po,,,,Tai Po District,22.4266868,114.2091633,A,,,,
6646,16 Hart Avenue,16 Hart Avenue,Tsimshatsui,2014,,,Yau Tsim Mong District,22.29829717349927,114.17509671135095,B,,,,
1343,163 Hennessy Road,163 Hennessy Road,Wanchai,1981,22,652,Wanchai District,22.2778097,114.1736992,B,,,,
5358,163 Hoi Bun Road,163 Hoi Bun Road,Kwun Tong,1991,,"10,000",Kwun Tong District,22.31093082301555,114.2193108767172,B,14.5,15,,
17715,163 QRE,153-167 Queen's Road East,Wanchai,2023,27,"3,800",Wanchai District,22.27506216292968,114.17152666891144,B+,40,40,,
2784,168 Electric Road,168 Electric Road,North Point,1996,,"1,625",Eastern District,22.2874868,114.1921686,B,27,28,,
195,168 Queen's Road Central,168 Queen's Road Central,Central,2002,25,"1,428",Central and Western District,22.284603991,114.153466991,B,,,,
7273,168 Sai Yeung Choi Street South,168 Sai Yeung Choi Street South,Mongkok,1995,,"3,038",Yau Tsim Mong District,22.3207521,114.1698988,B,35,35,,
17313,16W - Science Park,16 Science Park West Avenue,Tai Po,,,,Tai Po District,22.4280203,114.2090981,A,,,,
4669,17-19 Ashley Road,17-19 Ashley Road,Tsimshatsui,2013,,,Yau Tsim Mong District,22.2969766,114.1703085,B,37.49,37.49,,
17314,17W - Science Park,17 Science Park West Avenue,Tai Po,,,,Tai Po District,22.4270184,114.2084753,A,,,,
8177,18 On Lan Street,18 On Lan Street,Central,2013,29,"2,448 - 7,697",Central and Western District,22.280554004,114.156827002,A,,,,
17653,181 Queen's Road Central,181-183 Queen's Road Central,Sheung Wan,1998,28,"15,451",Central and Western District,22.28532267927823,114.1534804227192,A,34.87,40,12815,16000
17316,19W - Science Park,19 Science Park West Avenue,Tai Po,,,,Tai Po District,22.4271743,114.2084515,A,,,,
5705,2 Carnarvon Road,2-2A Carnarvon Road,Tsimshatsui,1989,,"1,918",Yau Tsim Mong District,22.2978162,114.1726855,C,43.75,48.02,,
3606,2 Queen Victoria Street,2 Queen Victoria Street,Central,1967,5,"800 - 1,000",Central and Western District,22.2839751,114.1558926,C,,,,
