building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_190,190,190,100 Queen's Road Central,e37f48de-3c7c-4bd3-8316-b35228c76e10,e37f48de-3c7c-4bd3-8316-b35228c76e10,100 Queen's Road Central,90.0
LH_107,107,107,128 Connaught Road Central,cd6b6f32-f52f-4b68-876c-e909c3e9c723,cd6b6f32-f52f-4b68-876c-e909c3e9c723,128 Connaught Road Central,88.6
LH_17653,17653,17653,181 Queen's Road Central,14147db7-cdb3-4f9c-8064-e0e1de89df7e,14147db7-cdb3-4f9c-8064-e0e1de89df7e,181 Queen's Road Central,88.4
LH_2971,2971,2971,238 Nathan Road,4219015c-e0fc-4fe2-a53a-afbb8b0d43fa,4219015c-e0fc-4fe2-a53a-afbb8b0d43fa,238 Nathan Road,90.0
LH_156,156,156,299QRC,c212b1fc-aa78-427e-931c-bf766a88de9d,c212b1fc-aa78-427e-931c-bf766a88de9d,299 QRC,85.19999999999999
LH_4833,4833,4833,3 Yuk Yat Street,9110fa68-a612-431d-a0b3-2c0f60e5bc47,9110fa68-a612-431d-a0b3-2c0f60e5bc47,3 Yuk Yat Street,90.0
LH_26,26,26,308 Central Des Voeux,f4e0fe6d-07d8-49da-a242-d51fa81524e2,f4e0fe6d-07d8-49da-a242-d51fa81524e2,308 Central Des Voeux,88.6
LH_15051,15051,15051,38 Plaza,5b0710db-1f97-40ae-9002-34cd4623cae0,5b0710db-1f97-40ae-9002-34cd4623cae0,38 Plaza,90.0
LH_11521,11521,11521,41 Heung Yip Road,8819d14a-161a-4f83-a9cd-97e6aab2e0ce,8819d14a-161a-4f83-a9cd-97e6aab2e0ce,41 Heung Yip Road,100.0
LH_4727,4727,4727,52 Hung To Road,3ba56a1a-0b7f-4897-a6a3-f536cd5023de,3ba56a1a-0b7f-4897-a6a3-f536cd5023de,52 Hung To Road,90.0
LH_6174,6174,6174,6 Wilmer Street,8e1816d0-46d1-4801-ae08-a6a909ab40a0,8e1816d0-46d1-4801-ae08-a6a909ab40a0,6 Wilmer Street,90.0
LH_2957,2957,2957,655 Nathan Road,65cb551d-2eb6-43c0-aa1d-5c5d8648b959,65cb551d-2eb6-43c0-aa1d-5c5d8648b959,655 Nathan Road,90.0
LH_1621,1621,1621,68 Yee Wo Street,af65a222-751f-483f-9ceb-62d8490c1e49,af65a222-751f-483f-9ceb-62d8490c1e49,68 Yee Wo Street,90.0
LH_12274,12274,12274,8 Observatory Road,2eeb9764-51f5-4d8c-9fcd-d11cf82d6701,2eeb9764-51f5-4d8c-9fcd-d11cf82d6701,8 Observatory Road,77.4
