building_key,midland_id,midland_original_key,midland_name,centanet_id,centanet_original_key,centanet_name,match_score
MD_B000025468,B000025468,B000025468,Yiuga Factory Building,725ee05f-2173-4d25-91a2-02734a681e4c,725ee05f-2173-4d25-91a2-02734a681e4c,Yiuga Factory Building,90.0
MD_B000007844,B000007844,B000007844,Block A Kailey Industrial Centre,f3687e84-5b70-4c5d-a636-a65df590a04f,f3687e84-5b70-4c5d-a636-a65df590a04f,Kailey Industrial Centre A,90.0
MD_B000007845,B000007845,B000007845,Block B Kailey Industrial Centre,7d0a9718-f12b-4ea0-816d-c6940432c076,7d0a9718-f12b-4ea0-816d-c6940432c076,Kailey Industrial Centre B,90.0
MD_B000007901,B000007901,B000007901,Chai Wan Industrial City Phase I,264cfe30-4f65-440f-ac6a-2961001af227,264cfe30-4f65-440f-ac6a-2961001af227,Chai Wan Industrial City I,88.2
MD_B000007903,B000007903,B000007903,Chai Wan Industrial City Phase Ii,28ec1ff3-205a-4af0-b096-7dc4aa141e05,28ec1ff3-205a-4af0-b096-7dc4aa141e05,Chai Wan Industrial City II,88.2
MD_B000007205,B000007205,B000007205,Cheung Lee Industrial Building,97f281d6-7152-42d9-9399-80c0ec59d085,97f281d6-7152-42d9-9399-80c0ec59d085,Tung Lee Industrial Building,77.2
MD_B000007209,B000007209,B000007209,Cornell Centre,f290ca9e-df59-43e6-9cc0-0d0b9461a05b,f290ca9e-df59-43e6-9cc0-0d0b9461a05b,Cornell Centre,90.0
MD_B000007509,B000007509,B000007509,Decca Industrial Centre,b5d68be9-6e92-4659-953b-bdf2f058e1ea,b5d68be9-6e92-4659-953b-bdf2f058e1ea,Decca Industrial Centre,90.0
MD_B000007214,B000007214,B000007214,Eastern Centre,66892345-5083-40e0-8086-32b491c1fea4,66892345-5083-40e0-8086-32b491c1fea4,Eastern Centre,90.0
MD_B000007210,B000007210,B000007210,Honour Industrial Centre,5cf5644e-82ff-45e5-8eab-70ba8b46826b,5cf5644e-82ff-45e5-8eab-70ba8b46826b,Honour Industrial Centre,90.0
MD_B000007078,B000007078,B000007078,Hop Shi Factory Building,dcd3b9dd-325f-4877-9513-4c7f93760ce8,dcd3b9dd-325f-4877-9513-4c7f93760ce8,Hop Shi Factory Building,83.0
MD_B000024368,B000024368,B000024368,Mega Iadvantage,beb7895a-dd63-4c44-8198-1524501092e0,beb7895a-dd63-4c44-8198-1524501092e0,Mega-iAdvantage,90.0
MD_B000007842,B000007842,B000007842,Mp Industrial Centre Block A,3cbc7f82-b6ed-423b-b172-1fb0dc2f9e50,3cbc7f82-b6ed-423b-b172-1fb0dc2f9e50,MP Industrial Centre Block A,90.0
MD_B000007843,B000007843,B000007843,Mp Industrial Centre Block B,ef477ad2-09c4-47f6-9279-d5f3143f2565,ef477ad2-09c4-47f6-9279-d5f3143f2565,MP Industrial Centre Block B,90.0
MD_B000007208,B000007208,B000007208,Paramount Building,0ae0b230-d660-4c2d-bb33-eb0688ebe453,0ae0b230-d660-4c2d-bb33-eb0688ebe453,Paramount Building,90.0
MD_B000007847,B000007847,B000007847,Sea View Estate Block A,b3e23d5a-da19-40b0-a588-4bb04dd3fd0f,b3e23d5a-da19-40b0-a588-4bb04dd3fd0f,Sea View Estate A,88.6
MD_B000056176,B000056176,B000056176,Sea View Estate Block C,725161f4-4606-4289-ab4c-5dab7e2991ea,725161f4-4606-4289-ab4c-5dab7e2991ea,Sea View Estate C,88.6
MD_B000007511,B000007511,B000007511,Sino Favour Centre,e624628d-a013-4c6b-ad36-9ade518b8829,e624628d-a013-4c6b-ad36-9ade518b8829,Sino Favour Centre,90.0
MD_B000007059,B000007059,B000007059,Sunview Industrial Building,3941eea7-9d1e-4be8-b567-7006f555bf2e,3941eea7-9d1e-4be8-b567-7006f555bf2e,Gemmy Development Industrial Building,75.2
MD_B000007218,B000007218,B000007218,Tung Chong Factory Building,acba3326-ddad-4e9f-a2d3-4e74483a8c1b,acba3326-ddad-4e9f-a2d3-4e74483a8c1b,Tung Chong Factory Building,90.0
MD_B000007212,B000007212,B000007212,Westlands Centre,51ce25cf-a7ea-4b53-9d53-97f68794fa8b,51ce25cf-a7ea-4b53-9d53-97f68794fa8b,Westlands Centre,90.0
MD_B000007064,B000007064,B000007064,Yiko Industrial Building,75926bda-009f-4238-887b-d9ab40c4db53,75926bda-009f-4238-887b-d9ab40c4db53,Milo's Industrial Building,76.2
MD_B000059626,B000059626,B000059626,Fortune Factory Building Block B,67f0c98b-6d7f-442d-8ea8-9a7c23dc1536,67f0c98b-6d7f-442d-8ea8-9a7c23dc1536,Fortune Factory Building B,90.0
MD_B000019530,B000019530,B000019530,Grand Marine Center,3328148e-013c-4a71-89cf-4b8f371a074a,3328148e-013c-4a71-89cf-4b8f371a074a,Grand Marine Centre,90.0
MD_B000019713,B000019713,B000019713,Harbour Industrial Centre,4f79b6a6-be2e-4b35-8984-85d26c2592eb,4f79b6a6-be2e-4b35-8984-85d26c2592eb,Harbour Industrial Centre,90.0
MD_B000019903,B000019903,B000019903,Hing Wai Centre,f342fac8-2863-40b2-8cdb-9cef3b2fe093,f342fac8-2863-40b2-8cdb-9cef3b2fe093,Hing Wai Centre,90.0
MD_B000007510,B000007510,B000007510,Hong Man Industrial Centre,2c3b941c-0cae-4c3d-bf6c-16497045546c,2c3b941c-0cae-4c3d-bf6c-16497045546c,Hong Man Industrial Centre,90.0
MD_B000059768,B000059768,B000059768,Kingley Industrial Building Block I,a29c72d2-bf07-4f53-a673-d28116397f74,a29c72d2-bf07-4f53-a673-d28116397f74,Fortune Industrial Building,75.0
MD_B000020762,B000020762,B000020762,Kingley Industrial Building Block Ii,7f296405-a88b-46c9-b7a7-f0ac59766e6f,7f296405-a88b-46c9-b7a7-f0ac59766e6f,Kingley Industrial Building 2,87.6
MD_B000021184,B000021184,B000021184,Lee Fund Centre,2d0fe61b-f305-4588-b1ca-a9a28268130a,2d0fe61b-f305-4588-b1ca-a9a28268130a,Lee Fund Centre,90.0
MD_B000022225,B000022225,B000022225,Oceanic Industrial Centre,3fd0842b-92f7-418d-8313-d790de9cd78d,3fd0842b-92f7-418d-8313-d790de9cd78d,Oceanic Industrial Centre,90.0
MD_B000025236,B000025236,B000025236,Yan's Tower,dd4026b5-dd81-4a11-b992-d2a9e6cb1087,dd4026b5-dd81-4a11-b992-d2a9e6cb1087,Yan's Tower,88.8
MD_B000059585,B000059585,B000059585,Elex Industrial Building,d99ca75a-ab85-4e36-9f3f-09db7f4e0bc2,d99ca75a-ab85-4e36-9f3f-09db7f4e0bc2,Elex Building,90.0
MD_B000019636,B000019636,B000019636,Hang Chong Centre,a25ea229-932e-4f1d-b048-2dd98c287773,a25ea229-932e-4f1d-b048-2dd98c287773,Hang Chong Centre,76.6
MD_B000084440,B000084440,B000084440,Khora,d7994026-797e-4a52-a24b-140cfbb3c5a8,d7994026-797e-4a52-a24b-140cfbb3c5a8,KHORA,90.0
MD_B000021990,B000021990,B000021990,Mow Shing Centre,03d5e9f2-5ae5-4047-8e55-fa76562e2546,03d5e9f2-5ae5-4047-8e55-fa76562e2546,Mow Shing Centre,90.0
MD_B000068633,B000068633,B000068633,Solo,83276c31-515c-4a21-8622-06a219bc3bd8,83276c31-515c-4a21-8622-06a219bc3bd8,SOLO,90.0
MD_B000023475,B000023475,B000023475,Splendid Centre,04d5bd65-99f9-4adb-b53d-2f2abd21e46f,04d5bd65-99f9-4adb-b53d-2f2abd21e46f,Splendid Centre,77.2
MD_B000023523,B000023523,B000023523,Style Factory Building,5d535083-e278-4398-ba39-48e290389035,5d535083-e278-4398-ba39-48e290389035,Style Factory Building,90.0
MD_B000076248,B000076248,B000076248,The Bedford,ffe1103a-7bb1-44d6-a4b3-d81760c61c8f,ffe1103a-7bb1-44d6-a4b3-d81760c61c8f,The Bedford,88.2
MD_B000093379,B000093379,B000093379,The Cloud,9ae72727-7e9f-4f26-8be2-a119f90dc277,9ae72727-7e9f-4f26-8be2-a119f90dc277,The Cloud,90.0
MD_B000024652,B000024652,B000024652,Wah Yuen Factory Building,1d4748a4-b41c-4e52-8956-78b3a7a2af98,1d4748a4-b41c-4e52-8956-78b3a7a2af98,Wah Yuen Factory Building,83.6
MD_B000024694,B000024694,B000024694,Wai Yick Industrial Building,2907f5f9-a502-4458-9ffe-a226d21cb0d1,2907f5f9-a502-4458-9ffe-a226d21cb0d1,Wai Yick Industrial Building,87.6
MD_B000087056,B000087056,B000087056,Walnut 9,c4a74dd7-3ce0-4230-93cb-dee1f2cd4791,c4a74dd7-3ce0-4230-93cb-dee1f2cd4791,Walnut 9,90.0
MD_B000024775,B000024775,B000024775,Wang Yip Industrial Building,9bfd3d5a-7755-453b-a5d7-0f2bbc37dc16,9bfd3d5a-7755-453b-a5d7-0f2bbc37dc16,Wang Yip Industrial Building,90.0
MD_B000024930,B000024930,B000024930,Wing Gar Factory Building,3eec588c-5f00-4f0e-bf99-89947923651c,3eec588c-5f00-4f0e-bf99-89947923651c,Wing Gar Factory Building,90.0
MD_B000059583,B000059583,B000059583,Worldwide Centre,2b56a3f0-2ab7-40c8-864b-c2dbed7cd3f7,2b56a3f0-2ab7-40c8-864b-c2dbed7cd3f7,Worldwide Centre,90.0
MD_B000055077,B000055077,B000055077,822 Lai Chi Kok Road Kowloon,340e7cda-dd99-4c9a-b886-805a92893e31,340e7cda-dd99-4c9a-b886-805a92893e31,822 Lai Chi Kok Road,90.0
MD_B000007239,B000007239,B000007239,Centre 600,3502b097-fcec-4767-a333-23e445287e46,3502b097-fcec-4767-a333-23e445287e46,Centre 600,90.0
MD_B000068495,B000068495,B000068495,Ceo Tower,4d19b981-bffd-4f37-90f7-a9cecae8e9d2,4d19b981-bffd-4f37-90f7-a9cecae8e9d2,CEO Tower,90.0
MD_B000007240,B000007240,B000007240,Charm Centre,b2ff1a22-e1ae-423a-9e4d-48de5b8cc211,b2ff1a22-e1ae-423a-9e4d-48de5b8cc211,Charm Centre,90.0
MD_B000007241,B000007241,B000007241,China United Plaza,f4a38a75-d17d-48d5-8622-c0148bc1b3ae,f4a38a75-d17d-48d5-8622-c0148bc1b3ae,China United Plaza,90.0
MD_B000053057,B000053057,B000053057,Clifford Centre,8c646fe5-1f95-4cb1-b269-9c13197e2e70,8c646fe5-1f95-4cb1-b269-9c13197e2e70,Clifford Centre,77.6
MD_B000007243,B000007243,B000007243,Cre Centre,7414b004-ba0f-43bd-9c06-a25179863e77,7414b004-ba0f-43bd-9c06-a25179863e77,CRE Centre,90.0
MD_B000007244,B000007244,B000007244,Dragon Industrial Building,bb850bf0-13af-4552-880c-a17f475cebf9,bb850bf0-13af-4552-880c-a17f475cebf9,Dragon Industrial Building,90.0
MD_B000007245,B000007245,B000007245,Elite Industrial Centre,b695b770-cff3-4963-abd4-ccce59f19bb0,b695b770-cff3-4963-abd4-ccce59f19bb0,Elite Industrial Centre,90.0
MD_B000007935,B000007935,B000007935,Fashion Centre,b143d39a-7cc6-4039-9e2f-478affdb3039,b143d39a-7cc6-4039-9e2f-478affdb3039,Fashion Centre,90.0
MD_B000019099,B000019099,B000019099,Fast Industrial Building,51707442-6080-48b2-9914-5f839bbde50b,51707442-6080-48b2-9914-5f839bbde50b,Fast Industrial Building,90.0
MD_B000020382,B000020382,B000020382,Ford Glory Plaza,b40ccfea-f17e-4b31-a7b1-03ab04723a77,b40ccfea-f17e-4b31-a7b1-03ab04723a77,Ford Glory Plaza,90.0
MD_B000019358,B000019358,B000019358,Fung Wah Factorial Building,11e3916b-a302-4835-930a-094dacc697c5,11e3916b-a302-4835-930a-094dacc697c5,Fung Wah Factorial Building,88.2
MD_B000019390,B000019390,B000019390,Garment Centre,6f4f463b-5755-4398-8c36-b3ca407f56cb,6f4f463b-5755-4398-8c36-b3ca407f56cb,Garment Centre,90.0
MD_B000079730,B000079730,B000079730,Global Gateway Tower,a2b2baef-13b9-4a53-ab0e-8b7fb61f8d87,a2b2baef-13b9-4a53-ab0e-8b7fb61f8d87,Global Gateway Tower,88.6
MD_B000007915,B000007915,B000007915,Hong Kong Industrial Centre Block A,ed57b856-90c1-4fcd-a950-7fb02ba84ec9,ed57b856-90c1-4fcd-a950-7fb02ba84ec9,HK Industrial Centre Block A,86.4
MD_B000007916,B000007916,B000007916,Hong Kong Industrial Centre Block B,7a337442-7754-4919-9001-167e11e6f648,7a337442-7754-4919-9001-167e11e6f648,HK Industrial Centre Block B,86.4
MD_B000007918,B000007918,B000007918,Hong Kong Industrial Centre Block C,018bb3b8-b63c-4131-b697-db99d9581076,018bb3b8-b63c-4131-b697-db99d9581076,HK Industrial Centre Block C,86.4
MD_B000007929,B000007929,B000007929,Hong Kong Spinners Industrial Building Phase V,fa4e62b4-9b5a-4087-b12a-e692a1d9a145,fa4e62b4-9b5a-4087-b12a-e692a1d9a145,HK Spinners Industrial Building V,87.0
MD_B000007924,B000007924,B000007924,"Hong Kong Spinners Industrial Building, Phases I & Ii",4db31a92-3da2-498f-a9a5-e515a15de2b9,4db31a92-3da2-498f-a9a5-e515a15de2b9,HK Spinners Industrial Building I & II,80.0
MD_B000007237,B000007237,B000007237,Hop Hing Industrial Building,20920e03-1e3f-4e33-aa06-835b85ed70b8,20920e03-1e3f-4e33-aa06-835b85ed70b8,Hop Hing Industrial Building,88.2
MD_B000020168,B000020168,B000020168,Hung Cheong Factory Building,eacf201b-d077-45ad-9a4b-82d84017ba5d,eacf201b-d077-45ad-9a4b-82d84017ba5d,Hung Cheong Factory Building,82.8
MD_B000007238,B000007238,B000007238,Ka To Factory Building,326c9773-496a-47cf-b204-99845bdcc109,326c9773-496a-47cf-b204-99845bdcc109,Ka To Factory Building,90.0
MD_B000021021,B000021021,B000021021,Kwong Tai Factory Building,c48f4a8c-2aae-4e6e-92e8-733ff39ba78f,c48f4a8c-2aae-4e6e-92e8-733ff39ba78f,Kwong Tai Factory Building,90.0
MD_B000021421,B000021421,B000021421,Long To Building,cadfd7c7-8c80-4027-b1b7-abdc15671408,cadfd7c7-8c80-4027-b1b7-abdc15671408,Long To Building,90.0
MD_B000021477,B000021477,B000021477,Luen Hing Factory Building,8298ef72-4506-4613-b0d3-47c6fd0de4da,8298ef72-4506-4613-b0d3-47c6fd0de4da,Luen Hing Factory Building,90.0
MD_B000022098,B000022098,B000022098,New Timely Factory Building,7563deaf-d0b2-43ca-bb5d-209c0e0bbfb9,7563deaf-d0b2-43ca-bb5d-209c0e0bbfb9,New Timely Factory Building,90.0
MD_B000101679,B000101679,B000101679,One Two One,70e30d87-c7f5-4531-b27e-aa6fb7a4b505,70e30d87-c7f5-4531-b27e-aa6fb7a4b505,One Two One,90.0
MD_B000094024,B000094024,B000094024,Orient International Tower,621ffa84-93bb-4a3e-ac61-765440aab4ac,621ffa84-93bb-4a3e-ac61-765440aab4ac,Orient International Tower,90.0
MD_B000022467,B000022467,B000022467,Peakcastle,0df2000d-a7df-4eed-9e96-5d85e6a6f2b8,0df2000d-a7df-4eed-9e96-5d85e6a6f2b8,PeakCastle,90.0
MD_B000007229,B000007229,B000007229,Premier Centre,5f47e229-2cce-40a8-a575-33a0cd37a3f3,5f47e229-2cce-40a8-a575-33a0cd37a3f3,Premier Centre,90.0
MD_B000094023,B000094023,B000094023,Prowell Asia Centre,5b259c84-4ed6-4fe9-b8be-bec9386f5b33,5b259c84-4ed6-4fe9-b8be-bec9386f5b33,Prowell Asia Centre,90.0
MD_B000007231,B000007231,B000007231,Siu Wai Industrial Centre,31b1b3ce-c72a-4d07-ade1-8a42ca0ed43a,31b1b3ce-c72a-4d07-ade1-8a42ca0ed43a,Siu Wai Industrial Centre,90.0
MD_B000077739,B000077739,B000077739,Tai Shing Factory Building,de043aa5-0e36-4332-a4a5-a5910fbda9a2,de043aa5-0e36-4332-a4a5-a5910fbda9a2,Tai Shing Industrial Building,79.19999999999999
MD_B000094022,B000094022,B000094022,Vita Green Tower,70ffdef1-c1c2-4977-872a-eb6ee11565e7,70ffdef1-c1c2-4977-872a-eb6ee11565e7,Vita Green Tower,90.0
MD_B000007235,B000007235,B000007235,Vogue Centre,9db46fe8-686d-4a5f-8560-92f51c711c26,9db46fe8-686d-4a5f-8560-92f51c711c26,Vogue Centre,90.0
MD_B000081664,B000081664,B000081664,W668,998487f2-12d6-4299-8cde-7b530a0ccaca,998487f2-12d6-4299-8cde-7b530a0ccaca,W668,82.0
