Building Name,Address,Detail URL
Yiuga Factory Building,62 Victoria Road,https://www.midlandici.com.hk/ics/property/building/details/B000025468/Yiuga-Factory-Building
Block A Kailey Industrial Centre,12 Fung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007844/Block-A-Kailey-Industrial-Centre
Block B Kailey Industrial Centre,12 Fung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007845/Block-B-Kailey-Industrial-Centre
Chai Wan Industrial City Phase I,60 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007901/Chai-Wan-Industrial-City-Phase-I
Chai Wan Industrial City Phase Ii,70 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007903/Chai-Wan-Industrial-City-Phase-Ii
Cheung Lee Industrial Building,9 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007205/Cheung-Lee-Industrial-Building
Cheung Tat Centre,18 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007206/Cheung-Tat-Centre
Cornell Centre,50 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007209/Cornell-Centre
Decca Industrial Centre,12 Kut Shing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007509/Decca-Industrial-Centre
Eastern Centre,1065 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007214/Eastern-Centre
Eastern Harbour Centre,28 Hoi Chak Street,https://www.midlandici.com.hk/ics/property/building/details/B000007211/Eastern-Harbour-Centre
Honour Industrial Centre,6 Sun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007210/Honour-Industrial-Centre
Hop Shi Factory Building,29-31 Lee Chung Street & 22-24 Cheung Lee St,https://www.midlandici.com.hk/ics/property/building/details/B000007078/Hop-Shi-Factory-Building
Kerry Warehouse (chai Wan),50 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020634/Kerry-Warehouse--chai-Wan-
Kodak House Ii,39 Healthy Street East,https://www.midlandici.com.hk/ics/property/building/details/B000020827/Kodak-House-Ii
Mega Iadvantage,399 Chai Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000024368/Mega-Iadvantage
Mp Industrial Centre Block A,18 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007842/Mp-Industrial-Centre-Block-A
Mp Industrial Centre Block B,18 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007843/Mp-Industrial-Centre-Block-B
Paramount Building,12 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007208/Paramount-Building
