Date,Address,Price,Area,Ft_Price,Agency
2025-02-19,青怡花園 7座 中層 C室,$475萬,547呎,"@$8,684",中原集團
2025-02-19,凱滙 2期 5座 中層 D室,$880萬,593呎,"@$14,840",中原集團
2025-02-19,新都城 2期 5座 高層 D室,$825萬,659呎,"@$12,519",中原集團
2025-02-19,迎海 1期 2座 高層 C室,$755萬,534呎,"@$14,139",中原集團
2025-02-19,浩明苑 高層 16室,$381萬,381呎,"@$10,000",中原集團
2025-02-19,藍澄灣 2座 低層 F室,$473萬,488呎,"@$9,693",中原集團
2025-02-19,美孚新邨 8期 百老匯街118-120號 低層 120號A室,$550萬,674呎,"@$8,160",中原集團
2025-02-19,嘉輝花園 A座 低層 4室,$330萬,265呎,"@$12,453",中原集團
2025-02-19,豐連 2座 低層 H室,$275萬,253呎,"@$10,870",中原集團
2025-02-19,Yoho Town 1期 5座 高層 B室,"$1,028萬",832呎,"@$12,356",中原集團
2025-02-19,屯門市廣場 2期 2座 低層 E室,$328萬,325呎,"@$10,092",中原集團
2025-02-19,縉城峰 1座 低層 B室,"$1,106萬",559呎,"@$19,785",中原集團
2025-02-19,嘉亨灣 6座 高層 H室,$870萬,497呎,"@$17,505",中原集團
2025-02-19,海怡半島 4期 御庭園 御意居 (28座) 低層 E室,$950萬,760呎,"@$12,500",中原集團
2025-02-19,海華苑 2座 低層 A室,$456萬,281呎,"@$16,228",中原集團
2025-02-19,東環 1期 5A座 中層 8室,$430萬,380呎,"@$11,316",中原集團
2025-02-18,綠悠軒 5座 高層 G室,$538萬,629呎,"@$8,553",中原集團
2025-02-18,慧景軒 2座 高層 D室,$450萬,547呎,"@$8,227",中原集團
2025-02-18,瓊峰園 A座 高層 1室,"$2,268萬","1,313呎","@$17,273",中原集團
2025-02-18,威景臺 C座 高層 8室,"$1,100萬",700呎,"@$15,714",中原集團
2025-02-18,日出康城 2期C 領凱 10座 中層 LA室,$610萬,602呎,"@$10,133",中原集團
2025-02-18,薈點 低層 D室,$320萬,241呎,"@$13,278",中原集團
2025-02-18,麗城花園 1期 1座 低層 C室,$430萬,470呎,"@$9,149",中原集團
2025-02-18,昇薈 9座 中層 B室,"$1,080萬","1,033呎","@$10,455",中原集團
2025-02-18,天盛苑 盛謙閣 (H座) 低層 6室,$440萬,650呎,"@$6,769",中原集團
2025-02-18,瓏門 1期 3座 高層 F室,$950萬,649呎,"@$14,638",中原集團
2025-02-18,偉華中心 4座 高層 A室,$488萬,358呎,"@$13,631",中原集團
2025-02-18,太古城 安盛台 順安閣 (29座) 低層 C室,$788萬,580呎,"@$13,586",中原集團
2025-02-18,美城苑 暉城閣 (C座) 低層 7室,$210萬,381呎,"@$5,512",中原集團
2025-02-19,青怡花園 7座 中層 C室,$475萬,547呎,"@$8,684",中原集團
2025-02-19,凱滙 2期 5座 中層 D室,$880萬,593呎,"@$14,840",中原集團
2025-02-19,新都城 2期 5座 高層 D室,$825萬,659呎,"@$12,519",中原集團
2025-02-19,迎海 1期 2座 高層 C室,$755萬,534呎,"@$14,139",中原集團
2025-02-19,浩明苑 高層 16室,$381萬,381呎,"@$10,000",中原集團
2025-02-19,藍澄灣 2座 低層 F室,$473萬,488呎,"@$9,693",中原集團
2025-02-19,美孚新邨 8期 百老匯街118-120號 低層 120號A室,$550萬,674呎,"@$8,160",中原集團
2025-02-19,嘉輝花園 A座 低層 4室,$330萬,265呎,"@$12,453",中原集團
2025-02-19,豐連 2座 低層 H室,$275萬,253呎,"@$10,870",中原集團
2025-02-19,Yoho Town 1期 5座 高層 B室,"$1,028萬",832呎,"@$12,356",中原集團
2025-02-19,屯門市廣場 2期 2座 低層 E室,$328萬,325呎,"@$10,092",中原集團
2025-02-19,縉城峰 1座 低層 B室,"$1,106萬",559呎,"@$19,785",中原集團
2025-02-19,嘉亨灣 6座 高層 H室,$870萬,497呎,"@$17,505",中原集團
2025-02-19,海怡半島 4期 御庭園 御意居 (28座) 低層 E室,$950萬,760呎,"@$12,500",中原集團
2025-02-19,海華苑 2座 低層 A室,$456萬,281呎,"@$16,228",中原集團
2025-02-19,東環 1期 5A座 中層 8室,$430萬,380呎,"@$11,316",中原集團
2025-02-18,綠悠軒 5座 高層 G室,$538萬,629呎,"@$8,553",中原集團
2025-02-18,慧景軒 2座 高層 D室,$450萬,547呎,"@$8,227",中原集團
2025-02-18,瓊峰園 A座 高層 1室,"$2,268萬","1,313呎","@$17,273",中原集團
2025-02-18,威景臺 C座 高層 8室,"$1,100萬",700呎,"@$15,714",中原集團
2025-02-18,日出康城 2期C 領凱 10座 中層 LA室,$610萬,602呎,"@$10,133",中原集團
2025-02-18,薈點 低層 D室,$320萬,241呎,"@$13,278",中原集團
2025-02-18,麗城花園 1期 1座 低層 C室,$430萬,470呎,"@$9,149",中原集團
2025-02-18,昇薈 9座 中層 B室,"$1,080萬","1,033呎","@$10,455",中原集團
2025-02-18,天盛苑 盛謙閣 (H座) 低層 6室,$440萬,650呎,"@$6,769",中原集團
2025-02-18,瓏門 1期 3座 高層 F室,$950萬,649呎,"@$14,638",中原集團
2025-02-18,偉華中心 4座 高層 A室,$488萬,358呎,"@$13,631",中原集團
2025-02-18,太古城 安盛台 順安閣 (29座) 低層 C室,$788萬,580呎,"@$13,586",中原集團
2025-02-18,美城苑 暉城閣 (C座) 低層 7室,$210萬,381呎,"@$5,512",中原集團
2025-02-18,荃錦中心 1座 低層 G室,$380萬,375呎,"@$10,133",中原集團
2025-02-18,囍滙 2期 3座 低層 D室,$888萬,433呎,"@$20,508",中原集團
2025-02-18,建利大樓 B座 高層 1室,$425萬,355呎,"@$11,972",中原集團
